group,category,code,name_df,name,source,frequency,original,order,transf,tcode,transf_code,days_lag,where
5,Setor Externo,SECEX12_MVTOT12,imp_fob,Importações - FOB,MDIC/Secex,M,US$ (milhões),,diff_12,2,3,8,Ipeadata
5,Setor Externo,SECEX12_MBENCAPGCE12,imp_kgood_fob,Importações - FOB - Bens de capital,MDIC/Secex,M,US$ (milhões),,diff_12,2,3,8,Ipeadata
5,Setor Externo,SECEX12_MBENCONGCE12,imp_comgood_fob,Importações - FOB - Bens de consumo,MDIC/Secex,M,US$ (milhões),,diff_diff_12,,3,8,Ipeadata
6,Setor Público,2057,net_publi_debt_states,Dívida Líquida do Setor Público - Saldos em u.m.c. milhões - Total - Governos estaduais	,BCB-DSTAT,M,R$,,diff_diff_12,2,3,31,BCB
6,Setor Público,2143,pr_central_gov,NFSP sem desvalorização cambial - (u.m.c.) - Resultado primário - Total - GF e BCB        ,BCB-DSTAT,M,R$,,diff_12,0,3,31,BCB
6,Setor Público,4503,net_debt_percent_gdp,Dívida Líquida do Setor Público (% PIB) - Total - Governo Federal e Banco Central,BCB-DSTAT,M,Percentage,,diff_12,2,2,31,BCB
6,Setor Público,4507,net_debt_per_gdp_states,Dívida Líquida do Setor Público (% PIB) - Total - Governos estaduais,BCB-DSTAT,M,Percentage,,diff_diff_12,2,2,31,BCB
6,Setor Público,4509,net_debt_per_gdp_pe,Dívida Líquida do Setor Público (% PIB) - Total - Empresas estatais	,BCB-DSTAT,M,Percentage,,diff_diff_12,2,1,31,BCB
6,Setor Público,4513,net_debt_per_gdp_cons_ps,Dívida Líquida do Setor Público (% PIB) - Total - Setor público consolidado	,BCB-DSTAT,M,Percentage,,diff_12,2,2,31,BCB
6,Setor Público,10733,nm_debt_cost,Custo real da dívida não-monetária - Total (valor),BCB-DSTAT,M,u.m.c,,diff_12,0,3,31,BCB
6,Setor Público,10734,nm_debt_cost_int,Custo real da dívida não-monetária - Total (taxa),BCB-DSTAT,M,% a.a ,,diff_12,0,2,31,BCB
6,Setor Público,SRF12_TOTGER12,revenue_rf,Arrecadação das receitas federais - receita bruta,ME,M,u.m.c,,diff_12,2,4,14,Ipeadata
7,Financeiras,1785,mon_base,BM - Base monetária restrita (média nos dias úteis do mês)	,BCB-DSTAT,M,R$,,diff_12,2,3,31,BCB
7,Financeiras,3546,inter_reserv,Reservas internacionais - Total - mensal	,BCB-DSTAT,M,US$,,diff_diff_12,2,3,31,BCB
